x,y,z,entropy,laplacian
0,0,0,0.3690338481954547,-0.05665792678625392
0,0,1,0.3476478916766238,0.13893930399161292
0,0,2,0.3780045520178055,-0.024158259220981027
0,0,3,0.39758899927145114,-0.09396420363327351
0,0,4,0.40327568918506024,-0.12523766040555606
0,0,5,0.32023100995118337,0.19059746704450475
0,0,6,0.3282920104966634,0.10228308496671379
0,0,7,0.35083378849539043,0.08055025032362484
0,0,8,0.4022231962782382,-0.08543164886487853
0,0,9,0.4406596370818924,-0.20883138089972197
0,0,10,0.39249645519064774,-0.059387846568303315
0,0,11,0.3273477859437641,0.19719059298559172
0,0,12,0.3690178165749869,-0.07487760586354564
0,0,13,0.32674179148116944,0.21800614691387077
0,0,14,0.39461188477517745,-0.08501659557800512
0,0,15,0.42769401433387133,-0.18320623348587528
0,0,16,0.3965422441118517,0.008443945505729022
0,0,17,0.38294585969703854,0.003522216865238459
0,0,18,0.3574923188756837,0.15095351187126638
0,0,19,0.44698210086070783,-0.21556444291184262
0,0,20,0.41896289896272254,-0.052461157526581204
0,0,21,0.41736828275707716,-0.19168978830332417
0,0,22,0.33879304251425946,0.21125121111180656
0,0,23,0.4007346601996021,-0.09901746251974797
0,0,24,0.406895388702751,-0.0626934195357447
0,0,25,0.4096869368957511,-0.10995965773608507
0,0,26,0.3526154800676557,0.12638355355308506
0,0,27,0.3864475492698011,-0.11579513065633229
0,0,28,0.3613568226074028,0.09755257049594124
0,0,29,0.40289546719539127,-0.10292788002267228
0,0,30,0.4010618779619953,0.002369339612817045
0,0,31,0.4486677887517715,-0.215237619817928
0,1,0,0.35225340292107893,0.08859307604920197
0,1,1,0.40432177840615746,-0.22378507175041928
0,1,2,0.3655503191017514,0.08932434260989308
0,1,3,0.36545422682133855,0.06319306455592044
0,1,4,0.39071132955539967,-0.053000563822677815
0,1,5,0.358939825721371,0.05695905487360586
0,1,6,0.37271491688527547,-0.014251309935243484
0,1,7,0.4028556831840824,-0.184963818633044
0,1,8,0.34465748585870504,0.2168657779571772
0,1,9,0.3936254510854997,-0.053699616766490044
0,1,10,0.3710353222577636,0.005982489704100757
0,1,11,0.3464042732796316,0.10811952957904558
0,1,12,0.39245022791165585,-0.10009279845909669
0,1,13,0.37429403932779703,-0.043352788425167876
0,1,14,0.3543554249682167,0.11570997917533266
0,1,15,0.36005318526082275,0.12710076018285887
0,1,16,0.3911179849883313,-0.05543566951100498
0,1,17,0.3675590487978187,0.06252910853968818
0,1,18,0.37248090273377654,0.0128026080813477
0,1,19,0.39332075819375545,0.013159936162432828
0,1,20,0.41190252450437825,-0.1598317316117126
0,1,21,0.3533875181183843,0.1847583163925295
0,1,22,0.3810733206417512,0.007350766929817842
0,1,23,0.39121884570389914,-0.032084309464456284
0,1,24,0.3840200678187727,-0.006460648478171516
0,1,25,0.3771882087168217,-0.0044122315919117305
0,1,26,0.33890690321770695,0.12482885389039433
0,1,27,0.35546475913315334,0.09408346419239266
0,1,28,0.39072662648000955,-0.09565312636322032
0,1,29,0.37686392045454675,0.02301347051585756
0,1,30,0.38469930790763773,-0.034927058169985425
0,1,31,0.34827020585368496,0.21684799773894858
