x,y,z,entropy,laplacian
0,0,0,0.4251161737857444,-0.15427664496212135
0,0,1,0.39926234892152934,-0.06980602833553595
0,0,2,0.3478999669775591,0.10748312537749705
0,0,3,0.3648579220335168,0.026988843285872477
0,0,4,0.3775641493794945,-0.002045380442668332
0,0,5,0.3928288251926963,-0.0810150614522629
0,0,6,0.3553739507520351,0.06728869242194047
0,0,7,0.3497532810062341,0.023066232495597916
0,1,0,0.35794649413521706,0.12985589225985117
0,1,1,0.37271554018424324,0.050009312468126677
0,1,2,0.3699994975768921,0.012388608776890075
0,1,3,0.3732279161148754,-0.011523689806853588
0,1,4,0.36105747676263333,0.09772900191940281
0,1,5,0.38235291371981267,-0.04010190121647983
0,1,6,0.3718576567722654,-0.0034792819474933623
0,1,7,0.369150891553823,0.002285772729459845
0,2,0,0.3937294061017368,-0.06376609918936227
0,2,1,0.39836398375277615,-0.09254010762357612
0,2,2,0.3908301164849505,-0.061486696339692726
0,2,3,0.37350901890024724,0.047437597456717606
0,2,4,0.3950690571686999,-0.12062477234737634
0,2,5,0.3732620232699612,0.028500854056597857
0,2,6,0.3790710852472166,-0.0366785797938356
0,2,7,0.3751596344515933,0.0164741173955969
0,3,0,0.3748461063618528,-0.016117301337457146
0,3,1,0.36509173541814777,0.08030671015618474
0,3,2,0.37942159984721074,-0.03787406511669955
0,3,3,0.37687086957400306,5.229441748144659e-05
0,3,4,0.3721300071158231,0.05547266499325754
0,3,5,0.37533513357749776,-0.00783921443765645
0,3,6,0.3666274747551744,0.056729927175095174
0,3,7,0.3788863999028854,-0.036115438892934115
0,4,0,0.35152905507997967,0.07517202352176011
0,4,1,0.37519030933572367,-0.051742656273374044
0,4,2,0.34866291279814293,0.15280802703290242
0,4,3,0.3824763429180058,-0.04227231744053772
0,4,4,0.38424829529196813,-0.03288899627333186
0,4,5,0.3798189691347381,-0.007234417798151593
0,4,6,0.3785345019613443,-0.04314664676726787
0,4,7,0.37267353420047356,0.027675916012972035
0,5,0,0.35167020107121916,0.06053827314395144
0,5,1,0.38147632298449236,-0.06669498143992225
0,5,2,0.3845618686138812,-0.051022215466880905
0,5,3,0.38297455573120553,-0.020175579763203277
0,5,4,0.3802351069505387,-0.006992770372601154
0,5,5,0.37465836846124806,0.01790587877579397
0,5,6,0.3623982305522051,0.06571467723647784
0,5,7,0.3704543144422314,0.022759128460777323
0,6,0,0.3570621323608609,0.043818098670403094
0,6,1,0.3584843846909794,0.02470081992367823
0,6,2,0.36979788094964006,0.021444208225255945
0,6,3,0.3810599367772695,-0.03469399481346502
0,6,4,0.37335494912094924,0.016560611493241062
0,6,5,0.3878413557802217,-0.0639489858362956
0,6,6,0.37754218489700087,0.008814074414052353
0,6,7,0.38849043543840367,-0.053324583565577566
0,7,0,0.38616380797516203,-0.04817565316768224
0,7,1,0.3317117442309682,0.15675360523949133
0,7,2,0.3738093841265113,-0.05282816705818494
0,7,3,0.37007725572410355,0.0170713785663823
0,7,4,0.36387380585715234,0.02322209730949032
0,7,5,0.36967513253327666,0.014530912521772965
0,7,6,0.37138584385415563,0.005856703553151377
0,7,7,0.3798738611845383,-0.014131956326820516
1,0,0,0.36386303333836517,0.08653583661929654
1,0,1,0.3815116864030348,-0.02071600912207061
1,0,2,0.3649632247557951,0.05565982303303496
1,0,3,0.3877284989480107,-0.04405580631710038
1,0,4,0.3894669930864632,-0.04403617106256652
1,0,5,0.37500922546718,0.030636333453626152
1,0,6,0.37434473245888494,-0.054795132360431875
1,0,7,0.34780123320844214,0.039172202614369045
1,1,0,0.3700807487289949,0.015866861860476922
1,1,1,0.38801468900292835,-0.07742534287443803
1,1,2,0.3777125568997224,-0.011098497979640687
1,1,3,0.38519197549423395,-0.041492617378388275
1,1,4,0.3748023493496868,0.014289417978868624
1,1,5,0.37265668538502733,0.003713699448170793
1,1,6,0.36986016064094607,0.034606598222751916
1,1,7,0.38211876671465916,-0.06003448435084069
1,2,0,0.37999494096773895,-0.002297834236455243
1,2,1,0.37691301295122653,0.03572272040055102
1,2,2,0.3713697860079333,0.048411849293920284
1,2,3,0.3789847326154249,-0.017452650851002005
1,2,4,0.3747619874474582,0.03452589115630289
1,2,5,0.36298278069317713,0.06929157942195507
1,2,6,0.3717700571932532,0.029378310699940346
1,2,7,0.3900042784980449,-0.07807040086669881
1,3,0,0.37291692751008976,0.03681884605114116
1,3,1,0.37794338794936017,-0.01938987770876377
1,3,2,0.3777782998441099,-0.010735321954018495
1,3,3,0.37686967350620987,0.012485139029771997
1,3,4,0.3845993449602043,-0.053322427100552794
1,3,5,0.3769979791741356,-0.013042607935283002
1,3,6,0.3780401802620228,-0.04234660866957629
1,3,7,0.36496951731136634,0.08567139524647716
1,4,0,0.37958162707288323,-0.0396703707500734
1,4,1,0.37744886412448153,-0.014434931674393692
1,4,2,0.3744724703087956,0.001350994385664439
1,4,3,0.37735276375417176,-0.0073897535263798275
1,4,4,0.3736920540674029,0.04039999632620894
1,4,5,0.3790841285834808,-0.013965135991131916
