x,y,z,entropy,laplacian,cluster_label
0,0,0,0.3918728846627407,-0.0608845280805394,-1
0,0,1,0.3603576531656074,0.0931886673780337,-1
0,0,2,0.3912848377770278,-0.0518868584042584,-1
0,0,4,0.3966310807378093,-0.0222193875330671,-1
0,0,5,0.413134737038288,-0.1553438972021896,-1
0,0,6,0.3575287956527249,0.1006361492584364,-1
0,0,8,0.3859935863019992,-0.0306159323702368,-1
0,0,9,0.3915674459070437,-0.0415115283750089,-1
0,0,10,0.3849278296475552,0.0149162301503811,-1
0,0,11,0.4062777836306627,-0.1477517443829561,-1
0,0,12,0.3424114896991037,0.2016478392444174,-1
0,0,13,0.4176405944362988,-0.1649965452624506,-1
0,0,14,0.3947902719576752,-0.0499217222469434,-1
0,0,15,0.3442675306575743,0.1050903128379425,-1
0,0,16,0.3821203242055616,-0.0564301791848735,-1
0,0,17,0.378021442937838,0.0418080728208689,-1
0,0,18,0.380034505270811,-0.0350960373293312,-1
0,0,19,0.3564220024131765,0.0705934017627816,-1
0,0,20,0.3800449526313145,-0.0818145887745831,-1
0,0,21,0.3587011599912214,0.1134907605284478,-1
0,0,22,0.3910556086173095,-0.075016486196866,-1
0,0,23,0.383849296890446,0.0143857785899967,-1
0,0,24,0.3842051100251465,-0.0463819787589139,-1
0,0,25,0.3541002959357909,0.131091822189781,-1
0,0,26,0.3938209236355314,-0.1018702494797885,-1
0,0,27,0.3652278169195372,0.0736764190193912,-1
0,0,28,0.382177507220454,-0.0573119265000428,-1
0,0,29,0.3529853971965314,0.1030506653069216,-1
0,0,30,0.3740178256040588,-0.0156961423461408,-1
0,0,31,0.3804428356411725,-0.0530666407972373,-1
0,0,32,0.3493647204343635,0.1013391200295548,-1
0,0,33,0.3589405853126534,0.0254547235142399,-1
0,0,35,0.3531641593343353,0.0709244182275012,-1
0,0,36,0.3828331339640028,-0.0229475996407906,-1
0,0,37,0.3939920244379862,-0.033455883860453,-1
0,0,38,0.4017817468629225,-0.0555280004320333,-1
0,0,39,0.3957478068886997,-0.0682935495839915,-1
0,0,40,0.3728173360478793,0.0288498965196426,-1
0,0,41,0.3787588866576539,-0.0111203674381419,-1
0,0,43,0.3362523437248758,0.1267761358332033,-1
0,0,44,0.3508538270310497,0.0719884102967931,-1
0,0,45,0.3827648897126173,-0.0956178361088992,-1
0,0,46,0.3531321312682079,0.0655190061447867,-1
0,0,47,0.3440873904114321,0.03068844672903,-1
0,1,0,0.3844133234990777,-0.0139754101892641,-1
0,1,1,0.3869397744275251,-0.0578090964543056,-1
0,1,2,0.3738315717096461,0.0429737588511762,-1
0,1,3,0.3904010684638254,-0.0430546493752124,-1
0,1,4,0.3771010162143253,0.0236084586051239,-1
0,1,5,0.3706568365489249,0.0549138298527775,-1
0,1,6,0.3667506604816934,0.0299680181191623,-1
0,1,8,0.3577055530756123,0.1034934470502091,-1
0,1,9,0.3809621598240257,-0.0161806190427382,-1
0,1,11,0.3760365985510033,0.0338060033936535,-1
0,1,12,0.3682132170589778,0.0253264692143828,-1
0,1,13,0.383519294524656,0.0154911051861923,-1
0,1,14,0.3836510802636887,-0.0320751506528389,-1
0,1,15,0.3525659610915662,0.1061420021663688,-1
0,1,16,0.3798205418686997,-0.0355709122973655,-1
0,1,17,0.3810724583375759,-0.010208877801588,-1
0,1,18,0.3848348311224974,-0.0448521681096469,-1
0,1,20,0.3575483059086624,0.1079428070130865,-1
0,1,21,0.3907820919605727,-0.1066405128342651,-1
0,1,22,0.3744526714706258,0.0279832768940158,-1
0,1,24,0.3633396540257434,0.1014202286626078,-1
0,1,25,0.3869313626149803,-0.1033597917420883,-1
0,1,26,0.3689209718523974,0.0867825386766394,-1
0,1,27,0.3848455851345889,-0.0609333651680628,-1
0,1,28,0.3748803822856983,0.0202679434493475,-1
0,1,29,0.3797380127966435,-0.0612890334424063,-1
0,1,30,0.3719671664898951,0.0158788514129382,-1
0,1,31,0.377592996350199,-0.0223520340392866,-1
0,1,33,0.3653688558816702,0.0266840034938149,-1
0,1,34,0.3768384035537786,-0.0419893247539979,-1
0,1,35,0.3678478054949244,0.0156265967063027,-1
0,1,36,0.3721589958789214,0.0351012007896729,-1
0,1,37,0.3813661241104794,-0.0256349631971763,-1
0,1,38,0.3784570469044993,0.0290847569610668,-1
0,1,39,0.3849825196249146,-0.0397282508812248,-1
0,1,40,0.366543926284033,0.0610606160029358,-1
0,1,41,0.3755435986679452,0.0126186046249743,-1
0,1,42,0.3943186305527771,-0.0780464420953088,-1
0,1,43,0.3794559895025695,-0.0409402389076987,-1
0,1,44,0.3841275443906462,-0.078723235980781,-1
0,1,45,0.3613542069093246,0.0931345584470109,-1
0,1,46,0.3840043130217801,-0.1001557717322463,-1
0,1,47,0.3576019416333191,0.0493396698997861,-1
0,2,0,0.3826257245163358,-0.0221826735598167,-1
0,2,1,0.384174784415768,-0.0136602766705666,-1
0,2,2,0.3671945940393751,0.074583728436711,-1
0,2,3,0.3896239554801897,-0.0535915471495953,-1
0,2,4,0.381285609469092,-0.013106755023909,-1
