radial_bin_center,mean_laplacian,std_laplacian,count
0.22372322931098,,,0.0
0.67116968793294,-0.008657813589897374,0.021215812537976792,8.0
1.1186161465549,,,0.0
1.5660626051768598,0.0019041664949459875,0.030298258675642988,24.0
2.01350906379882,0.0026165599107135433,0.027997648912389,24.0
2.4609555224207798,-0.0011720127914265032,0.02696152409589171,32.0
2.90840198104274,0.00029968456475714143,0.03494994444065648,48.0
3.3558484396646997,-0.0007212202044819569,0.028988676212760228,72.0
3.80329489828666,0.0030846296864967026,0.033288321463859766,72.0
4.25074135690862,-0.002770989974823674,0.03421376223728827,80.0
4.69818781553058,-0.0016954682331323336,0.03185334405548317,120.0
5.14563427415254,0.0021515515888167764,0.030051837923501006,192.0
5.593080732774499,-0.002529477295316241,0.031611692494524384,168.0
6.0405271913964595,0.0015697162489430822,0.028753670860470853,224.0
6.48797365001842,0.00041512249586114677,0.03219688155617211,264.0
6.935420108640379,-0.0015086973716377631,0.030377147264501168,240.0
7.38286656726234,0.00021666716184146485,0.03191778877532198,288.0
7.8303130258842994,-0.0005612025218049307,0.03131769426055691,416.0
8.277759484506259,0.00047426841240874904,0.02787034699418381,240.0
8.72520594312822,-6.021654923795774e-05,0.030113450679445316,504.0
9.172652401750181,0.0017413420251997875,0.03146515086178367,432.0
9.620098860372138,0.00031435560682240645,0.03369427121269466,584.0
10.0675453189941,-0.001708232459662095,0.030283568870115227,600.0
10.51499177761606,8.255145931522372e-05,0.03195886581313604,600.0
10.962438236238018,0.00042910596092568217,0.03194450564041239,672.0
11.40988469485998,-0.0009815502772537602,0.031000032551958292,800.0
11.85733115348194,0.0007797489329414481,0.03130909005415753,696.0
12.304777612103898,0.00032444929565660606,0.032000391232877845,840.0
12.752224070725859,0.0005454543623651975,0.030889840116309207,864.0
13.19967052934782,2.3208125479602564e-06,0.03205292708226318,944.0
13.64711698796978,-0.0013698749370130187,0.030600690562857462,1104.0
14.094563446591739,0.0010326019585534976,0.031117750126364568,1248.0
14.5420099052137,-0.00032975682419316316,0.0315023662157951,1016.0
14.989456363835659,0.00017075971706864462,0.031152819456229365,1416.0
15.436902822457618,0.0004509307251769447,0.033076530548386135,1344.0
15.88434928107958,-0.0006536670245403195,0.0360106220371599,1416.0
16.33179573970154,-0.00040886457506892216,0.03768362400072073,1448.0
16.779242198323498,0.0003307710200686491,0.03530227753886409,1320.0
17.22668865694546,-6.133879910854274e-05,0.0375611213187694,1320.0
17.67413511556742,0.00030748482156535574,0.03600361322707325,1152.0
18.121581574189378,-0.0006073558829412905,0.03583780666486667,1160.0
18.56902803281134,0.00021715978634492074,0.03811624975416315,1224.0
19.0164744914333,-0.0007180346254120292,0.0387128093293257,984.0
19.46392095005526,0.0013508092137003553,0.03928590410518731,1128.0
19.91136740867722,-0.0013044212105773288,0.04044564063242692,920.0
20.35881386729918,0.0016859001538684774,0.042190093760371174,792.0
20.806260325921137,-0.0016076466110146583,0.04412850425600917,696.0
21.2537067845431,-0.00031788183543470503,0.04565664327079042,648.0
21.70115324316506,0.0012292529676611159,0.04405058202626963,536.0
22.14859970178702,-0.0007019752465748327,0.05532588959592871,504.0
22.596046160408978,0.0003358320551091284,0.057250495618818724,288.0
23.04349261903094,0.000999421096861523,0.051141648940910445,360.0
23.490939077652897,0.00047364984976457525,0.04387276449761203,224.0
23.938385536274858,0.0005816186146618629,0.0519994730568952,168.0
24.38583199489682,0.0029781156761468086,0.05212962120170545,72.0
24.83327845351878,-0.015451193706110958,0.05699603350234467,72.0
25.280724912140737,0.017410130082957703,0.06141880087198565,80.0
25.7281713707627,-0.01440123507063426,0.06835163063609843,48.0
26.17561782938466,-0.007679828040151499,0.11138009915397498,24.0
26.623064288006617,0.02902960395388291,0.15855730101382462,8.0
