t,a,z,R,H,rho_m,rho_eff,w_eff,rho_m_over_rho_eff
237.61880940470238,0.0004198227747622819,10.0,98.02452779192139,0.010209961106084211,5.163748765226716e-07,0.0003122135424867343,-0.9994493561512202,0.0016539156899147383
238.1190595297649,0.00042197250118972677,10.0,98.02493815787906,0.010209790260174198,5.085230436372026e-07,0.00031221092842660653,-0.9994577142028566,0.001628780408808606
238.61930965482742,0.00042413319944657805,10.0,98.02534228996727,0.010209622011245142,5.00790728750776e-07,0.0003122083541087531,-0.9994659455345989,0.0016040273175276184
239.11955977988995,0.0004263049258892181,10.0,98.02574028278532,0.010209456319838063,4.931761109297848e-07,0.00031220581892911427,-0.999474052119521,0.0015796506055569693
239.6198099049525,0.0004284877371632609,10.0,98.02613222954925,0.010209293147072201,4.85677396073009e-07,0.00031220332229249325,-0.999482035774192,0.0015556445476194948
240.12006003001503,0.0004306816902051541,10.0,98.02651822211413,0.010209132454635651,4.782928164725962e-07,0.0003122008636124122,-0.9994898983006745,0.0015320035022913393
240.62031015507756,0.00043288684224217894,10.0,98.0268983509741,0.010208974204785465,4.7102063081406214e-07,0.0003121984423111111,-0.999497641501348,0.0015087219120224885
241.1205602801401,0.0004351032507924507,10.0,98.02727270526225,0.010208818360347783,4.638591241762904e-07,0.0003121960578195457,-0.9995052671788828,0.0014857943031567952
241.62081040520263,0.000437330973664918,10.0,98.0276413727508,0.010208664884717911,4.568066080315325e-07,0.0003121937095773861,-0.9995127771267592,0.0014632152859514935
242.12106053026514,0.00043957006896071373,10.0,98.02800443986523,0.010208513741854337,4.4986141996214233e-07,0.0003121913970329244,-0.9995201731068214,0.0014409795536892995
242.62131065532768,0.00044182059507801187,10.0,98.02836199171813,0.010208364896263812,4.430219229554674e-07,0.0003121891196428583,-0.9995274569297938,0.0014190818804392692
243.1215607803902,0.0004440826107017526,10.0,98.02871411200232,0.01020821831304686,4.3628650750583816e-07,0.00031218687687297006,-0.9995346303511823,0.0013975171278047176
243.62181090545275,0.0004463561748178574,10.0,98.02906088318115,0.010208073957817723,4.296535879160317e-07,0.00031218466819691313,-0.9995416949820204,0.0013762802330991605
244.12206103051528,0.0004486413467155113,10.0,98.02940238651553,0.01020793179669293,4.2312160176505104e-07,0.0003121824930960386,-0.9995486524155617,0.0013553662076588118
244.62231115557782,0.00045093818598716275,10.0,98.02973870206402,0.010207791796291395,4.1668900990812495e-07,0.0003121803510593936,-0.9995555042453474,0.0013347701368586395
245.12256128064033,0.0004532467525285239,10.0,98.03006990868276,0.010207653923734508,4.103542964767082e-07,0.0003121782415837207,-0.9995622520651314,0.001314487180128018
245.62281140570286,0.00045556710653857054,10.0,98.03039608402553,0.010207518146646197,4.041159688784805e-07,0.00031217616417345576,-0.9995688974632875,0.0012945125709659879
246.1230615307654,0.0004578993085204663,10.0,98.03071730455207,0.010207384433149462,3.979725576318758e-07,0.00031217411834067403,-0.9995754419951112,0.0012748416164262866
246.62331165582793,0.0004602434192877144,10.0,98.0310336455699,0.010207252751848268,3.9192261551910085e-07,0.00031217210360482296,-0.9995818872605863,0.0012554696944196964
247.12356178089047,0.0004625994999525755,10.0,98.03134518112573,0.010207123071873525,3.859647197059639e-07,0.00031217011949341247,-0.9995882348228133,0.0012363922605158522
247.623811905953,0.000464967611940146,10.0,98.03165198416973,0.010206995362814119,3.800974685592102e-07,0.0003121681655409676,-0.9995944861127033,0.0012176048377659696
248.1240620310155,0.00046734781699175984,10.0,98.03195412659008,0.010206869594702352,3.7431948097056037e-07,0.00031216624128880746,-0.9996006425383639,0.0011991030145513091
