x,y,z,laplacian,cluster_label
0,0,0,0.201029984964689,0
0,0,1,0.1144411037342876,0
0,0,2,-0.1814778234045464,0
0,0,3,0.0374234289783621,0
0,0,4,0.1746142058336108,0
0,0,5,0.0853915030329757,0
0,0,6,0.0024090217261305,0
0,0,7,-0.1112618416640718,0
0,0,8,0.1286752380273736,0
0,0,9,0.1484692460718435,0
0,0,10,0.1899260691046786,0
0,0,11,-0.0951427718446484,0
0,0,12,-0.1164974058999959,0
0,0,13,0.0041959443253105,0
0,0,14,-0.0060898145687144,0
0,0,15,-0.006470782656526,0
0,0,16,0.0363749212964361,0
0,0,17,-0.0259616725194129,0
0,0,18,0.0493566063895003,0
0,0,19,-0.2072872242775147,0
0,0,20,0.054968636686272,0
0,0,21,0.0754573146922756,0
0,0,22,0.0196115853004938,0
0,0,23,-0.0237714093289524,0
0,0,24,-0.0100060953913179,0
0,0,25,0.2216004689003805,0
0,0,26,-0.0531489888887837,0
0,0,27,-0.1671788547784951,0
0,0,28,-0.0174737801836246,0
0,0,29,-0.0963897628499048,0
0,0,30,0.3391058348488218,0
0,0,31,-0.1369088869279824,0
0,1,0,0.0125197103208467,0
0,1,1,-0.1405816371165604,0
0,1,2,0.036501056610207,0
0,1,3,0.1372061248609584,0
0,1,4,-0.0729816828300502,0
0,1,5,0.0039669008325937,0
0,1,6,-0.1422536382778778,0
0,1,7,0.128974314862847,0
0,1,8,-0.1400812104565025,0
0,1,9,-0.1840523668917177,0
0,1,10,-0.0983750467811939,0
0,1,11,0.158782218441952,0
0,1,12,0.0137638533017847,0
0,1,13,-0.1884289777929471,0
0,1,14,0.0372803812798352,0
0,1,15,-0.0239622729892887,0
0,1,16,0.0226303364308397,0
0,1,17,0.0664801272152597,0
0,1,18,0.0673126788550251,0
0,1,19,0.0642078136338397,0
0,1,20,-0.2359708409195322,0
0,1,21,-0.0615204797362687,0
0,1,22,0.1354831692664571,0
0,1,23,0.0361335948962064,0
0,1,24,-0.2149411655752158,0
0,1,25,-0.1448840338401271,0
0,1,26,0.1050994494815129,0
0,1,27,-0.1707653731171248,0
0,1,28,0.0969163488825934,0
0,1,29,0.1526506051156482,0
0,1,30,-0.0179612069267074,0
0,1,31,0.0227702678576042,0
0,2,0,-0.0517724469907754,0
0,2,1,0.0805014202124088,0
0,2,2,0.0712906432564968,0
0,2,3,-0.2602784420227566,0
0,2,4,0.0295802172817156,0
0,2,5,0.0454466060887532,0
0,2,6,-0.0123536613740729,0
0,2,7,-0.0994522959776738,0
0,2,8,0.0302995023624779,0
0,2,9,0.0375620463750936,0
0,2,10,0.1939582413087037,0
0,2,11,-0.1238826035120164,0
0,2,12,-0.104366143102029,0
0,2,13,0.0373291852764803,0
0,2,14,0.1638253519837167,0
0,2,15,-0.0811383598517381,0
0,2,16,0.0833506927876435,0
0,2,17,-0.1114760022659622,0
0,2,18,0.1139369728173214,0
0,2,19,-0.1609615232411172,0
0,2,20,0.1300271090310496,0
0,2,21,0.0647360175914824,0
0,2,22,-0.0827825141825395,0
0,2,23,-0.1220235876880417,0
0,2,24,0.0837815356130424,0
0,2,25,0.068789785827821,0
0,2,26,0.035436153233413,0
0,2,27,0.1085960500289535,0
0,2,28,-0.0397832079094444,0
0,2,29,-0.0131363537658131,0
0,2,30,0.1161143163805737,0
0,2,31,-0.1152261653832467,0
0,3,0,-0.195642276008165,0
0,3,1,0.0640115010552508,0
0,3,2,-0.0395172001314345,0
0,3,3,0.2448315478634959,0
0,3,4,-0.0309739106165294,0
0,3,5,-0.050564301703645,0
0,3,6,0.055244605137745,0
0,3,7,-0.0686504800213025,0
0,3,8,0.0335665525164641,0
0,3,9,0.0306095068886533,0
0,3,10,-0.0298712880687519,0
0,3,11,0.1889124811455169,0
0,3,12,-0.236821110275101,0
0,3,13,0.1908203173671681,0
0,3,14,-0.1138641583718778,0
0,3,15,0.0740803266951923,0
0,3,16,0.0323581506451571,0
0,3,17,-0.2210997730728008,0
0,3,18,-0.023695467897844,0
0,3,19,0.1778950093928553,0
0,3,20,-0.0353330822486599,0
0,3,21,0.0700413010676335,0
0,3,22,-0.1355276714098054,0
0,3,23,0.0454150695451369,0
0,3,24,0.0156788697779313,0
0,3,25,-0.1207667255801787,0
0,3,26,0.0234830491915496,0
0,3,27,-0.1805110776926239,0
0,3,28,0.0266642613069323,0
0,3,29,-0.1002773933230298,0
0,3,30,-0.1247467618342876,0
0,3,31,0.0694118146986946,0
0,4,0,-0.0365862928792866,0
0,4,1,0.1722766853472244,0
0,4,2,-0.1046314325704098,0
0,4,3,-0.0717088144150044,0
0,4,4,0.1271946575510498,0
0,4,5,-0.2151764901342696,0
0,4,6,-0.1452459211677883,0
