x,y,z,laplacian,cluster_label
0,0,0,0.0689944265908226,0
0,0,1,0.0666883208742996,0
0,0,2,-0.0995644456490345,0
0,0,3,0.0366764558459273,0
0,0,4,-0.0443237904221875,0
0,0,5,0.0207086228534918,0
0,0,6,0.0148652338856607,0
0,0,7,0.0330471196254251,0
0,0,8,0.0552664512258855,0
0,0,9,-0.1966172874532572,0
0,0,10,0.035321370997057,0
0,0,11,0.1897693626813199,0
0,0,12,-0.1382014344192752,0
0,0,13,-0.0243136174859928,0
0,0,14,0.0150181679940253,0
0,0,15,-0.0890367394963465,0
0,0,16,0.0838106070606192,0
0,0,17,0.1062240503395701,0
0,0,18,-0.0661829673831086,0
0,0,19,-0.0426929503262329,0
0,0,20,0.0690610627982863,0
0,0,21,-0.06202155031203,0
0,0,22,0.1419699499926328,0
0,0,23,-0.0952337080703431,0
0,0,24,0.0806252329245549,0
0,0,25,-0.0633362978237292,0
0,0,26,0.0024250174005324,0
0,0,27,-0.0447051338370803,0
0,0,28,-0.0496765712210094,0
0,0,29,0.0137463032415072,0
0,0,30,0.0217178737646501,0
0,0,31,-0.0185733734987636,0
0,1,0,-0.1226064743732266,0
0,1,1,0.0403090175197553,0
0,1,2,0.0779909420873168,0
0,1,3,-0.092775831650183,0
0,1,4,0.0179994062843527,0
0,1,5,-0.0718101220636147,0
0,1,6,-0.0129090351821332,0
0,1,7,-0.0793315081078647,0
0,1,8,0.0320994128942251,0
0,1,9,0.0309645212826583,0
0,1,10,-0.0357563123703417,0
0,1,11,-0.0171406172819532,0
0,1,12,0.0443548826443886,0
0,1,13,0.0293082092531171,0
0,1,14,0.0346060900267823,0
0,1,15,0.0254742226918953,0
0,1,16,-0.0110002105609816,0
0,1,17,-0.1001265144432368,0
0,1,18,0.0053631072434057,0
0,1,19,-0.0366195003807212,0
0,1,20,0.0416035552727478,0
0,1,21,-0.0528957074380471,0
0,1,22,-0.0143351100421071,0
0,1,23,-0.0021332807146767,0
0,1,24,-0.091541468180583,0
0,1,25,0.0369528821843796,0
0,1,26,-0.0368722783333514,0
0,1,27,0.056658905524541,0
