x,y,z,entropy,laplacian
0,0,0,0.34509602157450214,0.06899442659082267
0,0,1,0.35480281836239824,0.06668832087429966
0,0,2,0.3985326002318881,-0.09956444564903455
0,0,3,0.3825957652006628,0.03667645584592738
0,0,4,0.39582063987365973,-0.04432379042218759
0,0,5,0.38017002313604303,0.020708622853491843
0,0,6,0.3778002936026211,0.014865233885660745
0,0,7,0.372657885960111,0.03304711962542517
0,0,8,0.373159947421759,0.05526645122588558
0,0,9,0.42521739121693586,-0.19661728745325724
0,0,10,0.37457668963109275,0.03532137099705701
0,0,11,0.33322921965568364,0.18976936268131994
0,0,12,0.4015850179809618,-0.13820143441927524
0,0,13,0.3875525090983887,-0.02431361748599281
0,0,14,0.3771313451685526,0.015018167994025333
0,0,15,0.3906758389825823,-0.0890367394963465
0,0,16,0.3558197802936608,0.08381060706061927
0,0,17,0.3534229825937097,0.10622405033957016
0,0,18,0.39262460363365215,-0.06618296738310869
0,0,19,0.3871816372061505,-0.04269295032623299
0,0,20,0.3615560837842563,0.06906106279828639
0,0,21,0.3826125436882593,-0.06202155031203005
0,0,22,0.34659305788580136,0.1419699499926328
0,0,23,0.39381084932454113,-0.09523370807034315
0,0,24,0.37427763768439937,0.08062523292455492
0,0,25,0.39813679976927463,-0.06333629782372929
0,0,26,0.3897120520460699,0.00242501740053247
0,0,27,0.3915206356664597,-0.0447051338370803
0,0,28,0.39274812536884296,-0.049676571221009436
0,0,29,0.3700868972247721,0.013746303241507274
0,0,30,0.37323228141855963,0.021717873764650175
0,0,31,0.38386233858031954,-0.018573373498763646
0,1,0,0.40175267410628934,-0.12260647437322669
0,1,1,0.3640958908242199,0.04030901751975535
0,1,2,0.36486656529745887,0.07799094208731683
0,1,3,0.3950177914043643,-0.092775831650183
0,1,4,0.38823037336692656,0.017999406284352704
0,1,5,0.3947382420250346,-0.0718101220636147
0,1,6,0.3879970168975654,-0.012909035182133266
0,1,7,0.3942197000745375,-0.07933150810786471
0,1,8,0.37153883633931006,0.03209941289422513
0,1,9,0.377893768600378,0.030964521282658364
0,1,10,0.38216708913821257,-0.035756312370341714
0,1,11,0.3717965748865782,-0.017140617281953263
0,1,12,0.3705659446458916,0.04435488264438869
0,1,13,0.36812228233608674,0.029308209253117168
0,1,14,0.3652144447313228,0.03460609002678239
0,1,15,0.3748095990756889,0.025474222691895365
0,1,16,0.38106817949954835,-0.01100021056098166
0,1,17,0.39364322187728384,-0.10012651444323684
0,1,18,0.38510751828567436,0.005363107243405718
0,1,19,0.38322236422910655,-0.03661950038072126
0,1,20,0.3679287237005746,0.04160355527274784
0,1,21,0.38506605752169715,-0.05289570743804717
0,1,22,0.3756260899623013,-0.01433511004210719
0,1,23,0.37986383904744997,-0.0021332807146767774
0,1,24,0.3954305982217984,-0.09154146818058306
0,1,25,0.3786328675193215,0.03695288218437964
0,1,26,0.3833090777516716,-0.036872278333351494
0,1,27,0.3714012479878478,0.056658905524541
0,1,28,0.37993875505845537,-0.015584229368872604
0,1,29,0.36535499285657996,0.08213927815642719
0,1,30,0.38583993958163326,-0.049824169079295766
0,1,31,0.3894339178253785,-0.038292913797657535
0,2,0,0.39987503257597967,-0.10764095478046398
0,2,1,0.3671456953583826,0.0412820093588977
0,2,2,0.3702936180407476,0.02126610764133008
0,2,3,0.37015536618231165,0.06458822628731187
0,2,4,0.39201054066505797,-0.07484036667529348
0,2,5,0.3747196742783504,0.03997341783355601
0,2,6,0.38061594516623204,-0.0036741883743440784
0,2,7,0.37879941277091556,-0.005128710054578933
0,2,8,0.3690630528949906,0.04609761542741975
0,2,9,0.3634622722084936,0.07563073031850243
0,2,10,0.37231242687557625,-0.005618326813207952
0,2,11,0.37743253320957076,-0.00877410332111106
0,2,12,0.3861933129432779,-0.05750876879333067
0,2,13,0.374187069866953,-0.0036740519117346437
0,2,14,0.36509382117033495,0.05771770326200465
0,2,15,0.3882640471251395,-0.05328473536105971
0,2,16,0.39252015830971165,-0.04688161149190195
0,2,17,0.36826251723734527,0.0848791141979437
0,2,18,0.3837530640469954,-0.052472638666384075
0,2,19,0.36192277583282073,0.07616278246532615
0,2,20,0.37470792278652343,-0.030735518831846997
0,2,21,0.37487620455468385,0.017684253241736503
0,2,22,0.37130671092055445,0.028262915805032485
0,2,23,0.36497210639536837,0.05910988193830624
0,2,24,0.3782986962690932,-0.011320452711985451
0,2,25,0.37722198244644356,-0.02612703166708008
0,2,26,0.35724561162572555,0.09518798955477425
0,2,27,0.3784826595806292,-0.04310557930945391
0,2,28,0.3763459755208651,0.029831509697587633
0,2,29,0.39080088613101305,-0.11542301524812548
0,2,30,0.37093706089833156,0.04349254139531511
0,2,31,0.371162101787076,0.057393478789109276
0,3,0,0.35007109431694716,0.1313154436710886
0,3,1,0.3697299115652042,0.013407970256494206
0,3,2,0.3955881600238915,-0.11301843054604399
0,3,3,0.3728591913616364,0.03433947415914829
0,3,4,0.3770404781675413,-0.0009894660868876581
0,3,5,0.36684296733058047,0.06340549902768688
0,3,6,0.38944712905495005,-0.09236256423326039
0,3,7,0.37271083352879486,0.060077521229021436
0,3,8,0.4031684975131431,-0.12567789434710663
0,3,9,0.3869123810825145,-0.06993319962865185
0,3,10,0.3561007079069319,0.12157870131910564
0,3,11,0.3749609653513034,-0.017558781971453996
0,3,12,0.3729738022649655,0.020252866162251637
0,3,13,0.3664052388545458,0.04557582555137207
0,3,14,0.3799938209441577,0.0016372802119375418
0,3,15,0.3798187046479902,0.007876556526329459
0,3,16,0.3969120802040469,-0.07733402727218563
0,3,17,0.3750977245113055,0.020466584727791393
0,3,18,0.37662133903158757,-0.0026658377370372133
0,3,19,0.3680621818999244,0.02965317678838786
0,3,20,0.3675129543852521,0.04898081656194919
0,3,21,0.3947600986497638,-0.09866823099899813
0,3,22,0.3927455114948707,-0.06623584708032215
0,3,23,0.37845882843768736,-0.02360998713555862
0,3,24,0.3583181782092587,0.07469110598186135
0,3,25,0.37116680945714847,0.01190800027899308
0,3,26,0.3645466175030806,0.013857620960060713
0,3,27,0.366630726152646,0.05374749755588737
0,3,28,0.38191812985342766,-0.06227090659440626
0,3,29,0.35310918623460275,0.1467709381396407
0,3,30,0.37118788889380905,0.010840235539207654
0,3,31,0.40425873413333724,-0.11846549075232193
0,4,0,0.3875325094535249,-0.09577740876458307
0,4,1,0.3772646971003505,0.002497200891832252
0,4,2,0.37829593435421965,0.0018598346514235864
0,4,3,0.379409167807912,-0.015473375840125536
0,4,4,0.36511733123065965,0.051027127651269044
0,4,5,0.38180241987549957,-0.05866630765122749
0,4,6,0.3606827134287303,0.09134202035093786
0,4,7,0.3730873014042845,-0.03103544229676003
0,4,8,0.38170727491359524,-0.026932839091046157
0,4,9,0.36885367335988023,0.07945577735356868
0,4,10,0.3890600333802732,-0.09298846284548734
0,4,11,0.3786417064139901,0.014941143295566173
0,4,12,0.3804192134255904,-0.021633658309764048
0,4,13,0.37383417635896465,0.032443079680141595
0,4,14,0.4025583986500565,-0.11963739078340963
0,4,15,0.3705719970945634,0.06822373275772153
0,4,16,0.3886921990141746,-0.04680925675205683
0,4,17,0.37868744034395624,0.01066761261712057
0,4,18,0.37667688935526394,0.018056469412038867
0,4,19,0.3855782478971794,-0.0626669004199194
0,4,20,0.36716226254288725,0.03901021328473164
0,4,21,0.36758455982243254,0.05472348418067097
0,4,22,0.3765843512774986,0.008606932090773123
0,4,23,0.37104803507399897,0.024080042772607113
0,4,24,0.3651972199869242,0.0373775346680556
0,4,25,0.396423476305509,-0.10982753247795318
0,4,26,0.37535564179184416,0.03163291268707358
0,4,27,0.3901427739264333,-0.08153457826166943
0,4,28,0.3783859793269452,0.02667271855686848
0,4,29,0.3890624879151069,-0.0898642974016135
0,4,30,0.36364919668195056,0.05405573707043798
0,4,31,0.36867051460386013,0.048040635790741915
0,5,0,0.3466022239684633,0.14501127897493093
0,5,1,0.3701236223565696,-0.02510940308982046
0,5,2,0.3622634285131806,0.09962648705073729
0,5,3,0.3888886290516196,-0.09146549203418464
0,5,4,0.3668437765704955,0.054980536130604385
0,5,5,0.3785374469641455,-0.0033223355095957086
0,5,6,0.37698900321254436,-0.046195868073396706
0,5,7,0.35099882745576655,0.11441859108395924
0,5,8,0.3617152008468623,0.0548330385799336
0,5,9,0.3896017021194892,-0.10139227069433954
0,5,10,0.37198935839241565,0.04946624229227958
0,5,11,0.3850049021774995,-0.0379500355197564
0,5,12,0.3752062232430081,-0.009290778090789598
0,5,13,0.372137660840826,0.038235471664769705
0,5,14,0.38807460655564174,-0.03770934938828807
0,5,15,0.37260568865448074,0.018831268402406565
0,5,16,0.3762669761732883,0.011050275552348943
0,5,17,0.3809821698714811,-0.019877121024948874
0,5,18,0.3832450497963684,-0.004666123304735148
0,5,19,0.37986368244687757,-0.0027112971340415015
0,5,20,0.38068791208131914,-0.018274915170991335
0,5,21,0.3770511026954173,0.008983393350542324
0,5,22,0.3778544405417126,-0.03426682895121491
0,5,23,0.3811164037919905,-0.04036648269887633
0,5,24,0.35762593363960726,0.10332508588140121
0,5,25,0.38146785119989557,-0.01167501484640554
0,5,26,0.3807265672540847,-0.00628858301756674
0,5,27,0.37960129094387973,0.006633935766468868
0,5,28,0.3803353616840173,0.0010734054707723928
0,5,29,0.38540266103895104,-0.028458391500662872
0,5,30,0.3714237723463326,0.0486027503385742
0,5,31,0.38409014638553235,-0.05640717029043407
0,6,0,0.4014739898617147,-0.16527598356615192
0,6,1,0.3592650903877542,0.10876836866832251
0,6,2,0.3928870021914841,-0.12359692774952236
0,6,3,0.37200844861265125,0.06303444743332798
0,6,4,0.3803702264623009,-0.0316984857540894
0,6,5,0.3882299920611247,-0.058311807600927024
0,6,6,0.3714005640800227,0.03645952955630016
0,6,7,0.38738399423994824,-0.08117427901660235
0,6,8,0.36721905319587117,0.01583189614760183
0,6,9,0.3629496004507532,0.07610186110574446
0,6,10,0.374800161701561,-0.01852682452093446
0,6,11,0.3727740205088224,-0.0025835151471691464
0,6,12,0.3558672642381294,0.10378113491689178
0,6,13,0.38266263102931286,-0.04971099127510681
0,6,14,0.37537502503500814,-0.0013275374179682053
0,6,15,0.3705274899994544,0.01756496266984886
0,6,16,0.37414567484689365,0.0017220129599297973
0,6,17,0.37202561575939896,0.039024769316584385
0,6,18,0.3839237785611467,-0.034557501967569015
0,6,19,0.37402752689045315,0.0356568453628161
